Date,crude_oil
7/8/2021,72.58
7/9/2021,73.72
7/12/2021,73.54
7/13/2021,74.36
7/14/2021,73.48
7/15/2021,72.83
7/16/2021,72.92
7/19/2021,71.01
7/20/2021,71.28
7/21/2021,72.28
7/22/2021,72.81
7/23/2021,72.87
7/26/2021,72.83
7/27/2021,72.81
7/28/2021,72.81
7/29/2021,72.89
7/30/2021,72.9
8/2/2021,71.37
8/3/2021,70.95
8/4/2021,69.39
8/5/2021,70.22
8/6/2021,69.74
8/9/2021,68.49
8/10/2021,69.71
8/11/2021,70.42
8/12/2021,70.44
8/13/2021,70.05
8/16/2021,69.53
8/17/2021,69.33
8/18/2021,68.95
8/19/2021,68.03
8/20/2021,67.6
8/23/2021,68.76
8/24/2021,69.31
8/25/2021,69.45
8/26/2021,69.24
8/27/2021,69.44
8/30/2021,69.46
8/31/2021,69.49
9/1/2021,69.92
9/2/2021,71.22
9/3/2021,70.64
9/7/2021,69.71
9/8/2021,70.38
9/9/2021,69.63
9/10/2021,70.7
9/13/2021,71.11
9/14/2021,71.19
9/15/2021,72.09
9/16/2021,72.07
9/17/2021,71.92
9/20/2021,71.36
9/21/2021,71.57
9/22/2021,72.14
9/23/2021,72.35
9/24/2021,72.45
9/27/2021,72.61
9/28/2021,72.63
9/29/2021,72.57
9/30/2021,72.61
10/1/2021,76.77
10/4/2021,78.52
10/5/2021,79.71
10/6/2021,78.69
10/7/2021,79.45
10/8/2021,79.76
10/11/2021,80.68
10/12/2021,80.58
10/13/2021,80.45
10/14/2021,80.95
10/15/2021,81.51
10/18/2021,81.31
10/19/2021,81.61
10/20/2021,81.81
10/21/2021,81.44
10/22/2021,81.61
10/25/2021,81.73
10/26/2021,81.82
10/27/2021,81.6
10/28/2021,81.55
10/29/2021,81.58
11/1/2021,82.38
11/2/2021,82.54
11/3/2021,80.16
11/4/2021,78.95
11/5/2021,80.94
11/8/2021,81.62
11/9/2021,82.58
11/10/2021,81.27
11/11/2021,81.67
11/12/2021,81.48
11/15/2021,81.41
11/16/2021,81.67
11/17/2021,80.76
11/18/2021,81.11
11/19/2021,80.33
11/22/2021,80.55
11/23/2021,81.22
11/24/2021,81.2
11/26/2021,80.08
11/29/2021,80.31
11/30/2021,80.28
12/1/2021,67.73
12/2/2021,68.62
12/3/2021,68.91
12/6/2021,71.65
12/7/2021,73.54
12/8/2021,73.69
12/9/2021,72.72
12/10/2021,73.19
12/13/2021,72.71
12/14/2021,72.22
12/15/2021,72.38
12/16/2021,73.02
12/17/2021,72.43
12/20/2021,71.65
12/21/2021,72.42
12/22/2021,72.71
12/23/2021,72.99
12/27/2021,73.2
12/28/2021,73.16
12/29/2021,73.21
12/30/2021,73.2
12/31/2021,73.19
1/3/2022,77.03
1/4/2022,78.03
1/5/2022,78.81
1/6/2022,79.69
1/7/2022,79.53
1/10/2022,78.89
1/11/2022,80.79
1/12/2022,81.34
1/13/2022,81.3
1/14/2022,82.27
1/18/2022,83.22
1/19/2022,83.56
1/20/2022,83.5
1/21/2022,83.29
1/24/2022,82.87
1/25/2022,83.21
1/26/2022,83.39
1/27/2022,83.33
1/28/2022,83.36
1/31/2022,83.45
2/1/2022,87.42
2/2/2022,87.77
2/3/2022,89.16
2/4/2022,91.06
2/7/2022,90.76
2/8/2022,89.28
2/9/2022,89.88
2/10/2022,89.92
2/11/2022,91.79
2/14/2022,92.61
2/15/2022,90.86
2/16/2022,91.56
2/17/2022,90.67
2/18/2022,90.9
2/22/2022,91.84
2/23/2022,91.7
2/24/2022,92.07
2/25/2022,91.93
2/28/2022,92.34
3/1/2022,102
3/2/2022,109.4
3/3/2022,106.58
3/4/2022,114.95
3/7/2022,118.18
3/8/2022,122.53
3/9/2022,110.86
3/10/2022,110.2
3/11/2022,112.59
3/14/2022,109.18
3/15/2022,105.76
3/16/2022,104.89
3/17/2022,108.78
3/18/2022,108.99
3/21/2022,111.73
3/22/2022,111.43
3/23/2022,112.59
3/24/2022,111.82
3/25/2022,112.1
3/28/2022,110.84
3/29/2022,110.55
3/30/2022,110.89
3/31/2022,110.89
4/1/2022,101.85
4/4/2022,104.77
4/5/2022,103.27
4/6/2022,98.81
4/7/2022,98.42
4/8/2022,99.72
4/11/2022,97.02
4/12/2022,101.49
4/13/2022,103.7
4/14/2022,104.82
4/18/2022,105.44
4/19/2022,103.09
4/20/2022,103.12
4/21/2022,103.85
4/22/2022,103.43
4/25/2022,102.3
4/26/2022,102.69
4/27/2022,102.69
4/28/2022,102.76
4/29/2022,102.79
5/2/2022,103.86
5/3/2022,103.39
5/4/2022,105.97
5/5/2022,106.4
5/6/2022,107.57
5/9/2022,102.79
5/10/2022,100.43
5/11/2022,104.56
5/12/2022,104.66
5/13/2022,107.23
5/16/2022,108.4
5/17/2022,106.88
5/18/2022,105.53
5/19/2022,106.99
5/20/2022,107.21
5/23/2022,107.32
5/24/2022,107.17
5/25/2022,107.17
5/26/2022,107.64
5/27/2022,107.75
5/31/2022,108.13
6/1/2022,110.91
6/2/2022,112.02
6/3/2022,113.83
6/6/2022,114.01
6/7/2022,115.29
6/8/2022,117.5
6/9/2022,117.09
6/10/2022,116.67
6/13/2022,116.64
6/14/2022,115.71
6/15/2022,114.35
6/16/2022,115.34
6/17/2022,112.72
6/21/2022,113.34
6/22/2022,112.34
6/23/2022,111.86
6/24/2022,112.3
6/27/2022,112.7
6/28/2022,113.11
6/29/2022,113.02
6/30/2022,113.24
7/1/2022,107.89
7/5/2022,100.73
7/6/2022,98.98
7/7/2022,102.02
7/8/2022,104.22
7/11/2022,104.28
7/12/2022,99.14
7/13/2022,100
7/14/2022,99.7
7/15/2022,101.03
7/18/2022,103.58
7/19/2022,103.78
7/20/2022,103.54
7/21/2022,102.55
7/22/2022,102.32
7/25/2022,102.63
7/26/2022,102.66
7/27/2022,102.75
7/28/2022,102.8
7/29/2022,103.12
8/1/2022,97.87
8/2/2022,99.4
8/3/2022,95.97
8/4/2022,94.08
8/5/2022,94.41
8/8/2022,96.04
8/9/2022,95.97
8/10/2022,96.87
8/11/2022,98.18
8/12/2022,96.48
8/15/2022,94.97
8/16/2022,93.46
8/17/2022,94.04
8/18/2022,95.18
8/19/2022,95.39
8/22/2022,95.39
8/23/2022,96.41
8/24/2022,96.46
8/25/2022,96.23
8/26/2022,96.53
8/29/2022,96.88
8/30/2022,96.51
8/31/2022,96.6
9/1/2022,92.08
9/2/2022,92.6
9/6/2022,93.13
9/7/2022,89.36
9/8/2022,90.17
9/9/2022,92.78
9/12/2022,93.36
9/13/2022,92.51
9/14/2022,93.35
9/15/2022,91.98
9/16/2022,92.26
9/19/2022,92.46
9/20/2022,91.9
9/21/2022,91.81
9/22/2022,92.18
9/23/2022,91.02
9/26/2022,90.5
9/27/2022,90.72
9/28/2022,90.9
9/29/2022,90.81
9/30/2022,90.91
10/3/2022,88.03
10/4/2022,90.9
10/5/2022,92.12
10/6/2022,92.98
10/7/2022,95.8
10/10/2022,94.42
10/11/2022,92.93
10/12/2022,91.58
10/13/2022,92.42
10/14/2022,90.79
10/17/2022,90.71
10/18/2022,89.92
10/19/2022,90.53
10/20/2022,90.54
10/21/2022,90.95
10/24/2022,90.88
10/25/2022,90.84
10/26/2022,91.16
10/27/2022,91.26
10/28/2022,91.11
10/31/2022,91.13
11/1/2022,91.22
11/2/2022,91.87
11/3/2022,89.5
11/4/2022,93.63
11/7/2022,92.68
11/8/2022,90.62
11/9/2022,88.8
11/10/2022,89.36
11/11/2022,91.11
11/14/2022,89.5
11/15/2022,89.44
11/16/2022,88.94
11/17/2022,87.59
11/18/2022,86.86
11/21/2022,86.62
11/22/2022,86.6
11/23/2022,85.88
11/25/2022,85.79
11/28/2022,85.97
11/29/2022,86.19
